No,필드한글명,필드영문명,설명,코드여부,유효값,타입
1,기준년월,BS_DT,기준년월,N,,Char
2,가명식별자,ID,가명 식별자,N,,Char
3,업종(중분류),SIC_CD_3,업종(중분류),Y,별첨1 참고,Char
4,외감구분,WG_GB,외감구분,Y,"1 : 외감 
2 : 비외감",Char
5,설립일자,FNDT_DT,설립일자,N,,Char
6,종업원수,EMPE_CNT,종업원수,N,,Int
7,주소지시군구,CT_CNTY_GU_CD,주소지시군구,Y,별첨1 참고,Char
8,상장일자,LISTD_DT,상장일자,N,,Char
9,상장폐지일자,LISTD_ABOL_DT,상장폐지일자,N,,Char
10,유동자산,FN1_1,유동자산,N,,Int
11,비유동자산,FN1_2,비유동자산,N,,Int
12,당좌자산,FN1_3,당좌자산,N,,Int
13,재고자산,FN1_4,재고자산,N,,Int
14,유형자산,FN1_5,유형자산,N,,Int
15,재공품,FN1_6,재공품,N,,Int
16,현금,FN1_7,현금,N,,Int
17,현금등가물,FN1_8,현금등가물,N,,Int
18,상품유가증권,FN1_9,상품유가증권,N,,Int
19,현금성자산,FN1_10,현금성자산,N,,Int
20,매출채권,FN1_11,매출채권,N,,Int
21,매출채권(전기),FN1_11_1,매출채권(전기),N,,Num
22,매출채권처분손실(당기),FN1_11_2,매출채권처분손실(당기),N,,Int
23,무형자산,FN1_11_3,무형자산,N,,Int
24,투자자산,FN1_11_4,투자자산,N,,Int
25,자산총계,FN1_13,자산총계,N,,Int
26,자산총계(전기),FN1_13_1,자산총계(전기),N,,Num
27,유동부채,FN1_14,유동부채,N,,Int
28,단기차입금,FN1_15,단기차입금,N,,Int
29,차입금,FN1_16,차입금,N,,Int
30,매입채무,FN1_17,매입채무,N,,Int
31,비유동부채,FN1_18,비유동부채,N,,Int
32,부채총계,FN1_19,부채총계,N,,Int
33,자기자본(납입자본금),FN1_20,자기자본(납입자본금),N,,Int
34,자본잉여금,FN1_21,자본잉여금,N,,Int
35,납입자본,FN1_21_1,납입자본,N,,Int
36,이익잉여금,FN1_22,이익잉여금,N,,Int
37,자본조정,FN1_22_1,자본조정,N,,Int
38,기타포괄손익누계액,FN1_22_2,기타포괄손익누계액,N,,Int
39,유보금,FN1_23,유보금,N,,Int
40,자본총계,FN1_24,자본총계,N,,Int
41,전기자본총계,FN1_24_1,전기자본총계,N,,Num
42,매출액,FN2_1,매출액,N,,Int
43,전기매출액,FN2_1_1,전기매출액,N,,Num
44,매출원가,FN2_2,매출원가,N,,Int
45,매출총이익,FN2_2_1,매출총이익,N,,Int
46,판매비와관리비,FN2_3,판매비와관리비,N,,Int
47,법인세비용차감전 순이익,FN2_3_1,법인세비용차감전 순이익,N,,Int
48,전기법인세차감전순이익,FN2_3_2,전기법인세차감전순이익,N,,Num
49,법인세,FN2_3_3,법인세,N,,Int
50,계속사업이익,FN2_3_4,계속사업이익,N,,Int
51,중단산업손익,FN2_3_5,중단산업손익,N,,Int
52,금융비용,FN2_4,금융비용,N,,Int
53,영업손익,FN2_5,영업손익,N,,Int
54,전기영업이익,FN2_5_1,전기영업이익,N,,Num
55,영업외수익,FN2_7,영업외수익,N,,Int
56,영업외비용,FN2_8,영업외비용,N,,Int
57,법인세차감전순이익,FN2_9,법인세차감전순이익,N,,Int
58,당기순이익,FN2_10,당기순이익,N,,Int
59,당기순이익(전기),FN2_10_1,당기순이익(전기),N,,Num
60,현금흐름,FN3_1,현금흐름,N,,Int
61,영업활동현금흐름,FN3_2,영업활동현금흐름,N,,Int
62,투자활동현금흐름,FN3_2_1,투자활동현금흐름,N,,Int
63,재무활동현금흐름,FN3_2_2,재무활동현금흐름,N,,Int
64,부채상환계수,FN3_3,부채상환계수,N,,Num
65,영업이익이자보상배율,FN3_4,영업이익이자보상배율,N,,Num
66,이자비용,FN3_4_1,이자비용,N,,Int
67,사채이자(당기),FN3_4_2,사채이자(당기),N,,Int
68,이자보상배율,FN3_5,이자보상배율,N,,Num
69,적립금비율,FN3_6,적립금비율,N,,Num
70,EBIT,FN3_7,EBIT,N,,Int
71,EBITDA,FN3_8,EBITDA,N,,Int
72,청산가치율,FN3_10,청산가치율,N,,Num
73,청산가치,FN3_10_1,청산가치,N,,Int
74,순운전자본,FN3_11,순운전자본,N,,Num
75,순차입금,FN3_11_1,순차입금,N,,Int
76,재무비율_총자산증가율,R001,총자산증가율,N,,Num
77,재무비율_부채비율,R006,부채비율,N,,Num
78,재무비율_자기자본비율,R007,자기자본비율,N,,Num
79,재무비율_유동비율,R008,유동비율,N,,Num
80,재무비율_차입금의존도,R012,차입금의존도,N,,Num
81,재무비율_매출액증가율,R002,매출액증가율,N,,Num
