No,필드명,설명,코드여부,타입
1,BASE_YM,기준년월,N,Char
2,CUST_ID,고객식별자,N,Char
3,SEX,성별,Y,Char
4,AGE,연령대,Y,Char
5,JB_TP,직업군,Y,Char
6,HOME_ADM,거주지시도,Y,Char
7,COM_ADM,근무지시도,Y,Char
8,HIGHEND_CD1,하이엔드대상자코드1,Y,Char
9,HIGHEND_CD2,하이엔드대상자코드2,Y,Char
10,HIGHEND_CD3,하이엔드대상자코드3,Y,Char
11,HIGHEND_CD4,하이엔드대상자코드4,Y,Char
12,LIF_STG,라이프스테이지,Y,Char
13,HB_1ST,취미1순위,Y,Char
14,COFFEE_1ST,1순위커피브랜드코드,Y,Char
15,BUY_LUX_YN,명품구매여부,Y,Char
16,APP_GD,앱구매등급,Y,Char
17,MUSIC_GD,디지털음악이용등급,Y,Char
18,GAME_GD,게임이용등급,Y,Char
19,GOLF_GD,골프이용등급코드,Y,Char
20,PET_GD,애완동물관심등급,Y,Char
21,DONATION_YN,기부여부,Y,Char
22,TRAVEL_GD,국내여행등급코드,Y,Char
23,CAR_YN,자동차이용여부,Y,Char
24,VIP_CARD_YN,VIP카드소지여부,Y,Char
25,CHILD_EDU,자녀교육관심,Y,Char
26,RET_SIL,퇴직실버,Y,Char
27,TRAVEL_OS,해외여행관심,Y,Char
28,TRAVEL_JJ,제주여행관심,Y,Char
29,GOLF_INDOOR,실내골프장이용(스크린포함),Y,Char
30,PREFER_SPORTS,레져/스포츠선호,Y,Char
31,PREFER_HIK,등산선호,Y,Char
32,RNCAR_JJ_YN,제주 렌터카/숙박 이용,Y,Char
33,BUY_PHONE_YN,휴대전화 구입,Y,Char
34,AIRLINE_OS_YN,항공사 이용 (해외여행목적),Y,Char
35,T_AGENCY_OS_YN,여행사 이용 (해외여행목적),Y,Char
36,KTX_YN,KTX 다빈도 이용,Y,Char
37,MUSEUM_YN,"박물관, 미술관 이용",Y,Char
38,BASEBALL_YN,야구장 축구장 이용,Y,Char
39,FST_CAR_ELPS,최초차량구매경과월수,N,Int
40,PYE_ICM,전년도 추정 연소득,N,Int
41,PYE_ICM_RT,전년도 추정 연소득(백분위),N,Int
42,PYE_ALL_CD_USE_AMT,전년도 연간전체카드소비금액,N,Int
43,PYE_NET_ASST,전년도 순자산평가금액,N,Int
44,PYE_CAR_OWN,전년도 차량보유(국산/수입),Y,Char
45,PYE_CAR_LN_AMT,전년도 차량할부약정액,N,Int
46,PYE_CAR_SIZE,전년도 보유차량크기,Y,Char
47,TOT_ASST,총자산평가금액,N,Int
48,PYE_FAM_CNT,추정가구원수_전년말기준,N,Int
49,PYE_ELE_CAR_YN,전기차보유여부_전년말기준,Y,Char
50,PYE_HOME_CHAR_DIST,자택_충전소최단거리_전년말기준,N,Int
51,PYE_COM_CHAR_DIST,직장_충전소최단거리_전년말기준,N,Int
52,OWN_HOUS_CNT,주택보유건수,N,Int
53,OWN_LIV_YN,자가거주여부,Y,Char
54,FAM_OWN_HOUS_CNT,주택보유건수_가구기준,N,Int
55,FAM_OWN_LIV_YN,자가거주여부_가구기준,Y,Char
56,HOUS_LN_BAL,주택담보대출잔액,N,Int
57,CRDT_LN_BAL,신용대출잔액,N,Int
58,CD_USE_AMT,카드소비금액,N,Int
59,HOUS_LN_BAL_NEW,분기신규주담대출여부,Y,Char
60,CRDT_LN_BAL_NEW,분기신규신용대출여부,Y,Char
61,FST_HOUS_BUY_ELPS,생애최초주택구입경과월수,N,Int
62,BUY_HOUS_ADM,신규구매주택시도코드,Y,Char
63,BUY_HOUS_PRICE,신규구매주택시세,N,Int
64,SHP_CNT,사업체건수,N,Int
65,MX_SHP_ADM,매출최대사업체시도코드,Y,Char
66,SHP_CD_USE,사업자카드이용,N,Int
67,SHP_LN_BAL,사업자대출잔액,N,Int
68,YR_SALES,연매출추정금액,N,Int
69,PYE_MAX_DLQ_DAY,최장연체일수_미해제_전년말기준,N,Int
70,PYE_C1M2B4W03,3개월내신용카드일시불총이용금액(해지포함)_전년말기준,N,Int
71,PYE_C1M2B5W03,3개월내신용카드할부총이용금액(해지포함)_전년말기준,N,Int
72,PYE_C1M210000,신용카드건수(미해지)_전년말기준,N,Int
73,PYE_C18233003,3개월전신용카드기관수(미해지)_전년말기준,N,Int
74,PYE_C18233004,6개월전신용카드기관수(미해지)_전년말기준,N,Int
75,PYE_C18233005,1년전신용카드기관수(미해지)_전년말기준,N,Int
76,PYE_C1L120012,신용카드총한도금액(활성카드)(미해지)_전년말기준,N,Int
77,PYE_C1L120161,최초카드개설일로부터경과일수(활성카드)(미해지)_전년말기준,N,Int
78,PYE_C1L120196,1년전카드총한도금액(활성카드)(미해지)_전년말기준,N,Int
79,PYE_C1L120237,1개월전신용카드총이용잔액유효한도소진율(2+)(활성카드)(해지포함)_전년말기준,N,Num
