No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,최초한도금액,최초 한도 금액
4,카드이용한도금액,카드 이용 한도금액
5,CA한도금액,현금서비스 한도금액
6,일시상환론한도금액,일시 상환론한도금액
7,월상환론한도금액,카드론 한도금액
8,CA이자율_할인전,현금서비스 이자율 할인전
9,CL이자율_할인전,카드론 이자율 할인전
10,RV일시불이자율_할인전,리볼빙 일시불 이자율 할인전
11,RV현금서비스이자율_할인전,리볼빙 현금서비스 이자율 할인전
12,RV신청일자,리볼빙 신청일자
13,RV약정청구율,리볼빙 약정청구율
14,RV최소결제비율,리볼빙 최소결제비율
15,자발한도감액횟수_R12M,회원 요청 한도 하향 횟수 (최근1년간)
16,자발한도감액금액_R12M,회원 요청 한도 하향 금액 (최근1년간)
17,자발한도감액후경과월,회원 요청 한도 감액 후 경과 월
18,강제한도감액횟수_R12M,비자발적 한도 하향 횟수 (최근1년간)
19,강제한도감액금액_R12M,비자발적 한도 하향 금액 (최근1년간)
20,강제한도감액후경과월,비자발적인 한도 하향 후 경과 월
21,한도증액횟수_R12M,한도 증액 횟수 (최근1년간)
22,한도증액금액_R12M,한도 증액 금액 (최근1년간)
23,한도증액후경과월,한도 증액 후 경과 월
24,상향가능한도금액,상향 가능한 카드 이용 한도
25,상향가능CA한도금액,상향 가능한 현금서비스 한도금액
26,카드론동의여부,카드론 동의 여부
27,월상환론상향가능한도금액,카드론 한도 상향 가능 금액
28,RV전환가능여부,리볼빙 전환가능여부
29,일시불ONLY전환가능여부,일시불 ONLY 전환 가능 여부
30,카드이용한도금액_B1M,카드이용한도금액(1개월전)
31,카드이용한도금액_B2M,카드이용한도금액(2개월전)
32,특별한도보유여부_R3M,특별한도보유여부(최근3개월간)
33,연체감액여부_R3M,연체감액여부(최근3개월간)
34,한도심사요청건수,한도 심사 요청 건수
35,한도요청거절건수,한도 요청 거절 건수
36,한도심사요청후경과월,한도 심사 요청 후 경과월
37,한도심사거절후경과월,한도 심사 거절 후 경과월
38,시장단기연체여부_R6M,시장 단기 연체 여부 (최근6개월간)
39,시장단기연체여부_R3M,시장 단기 연체 여부 (최근3개월간)
40,시장연체상환여부_R6M,시장 연체 상환 여부 (최근6개월간)
41,시장연체상환여부_R3M,시장 연체 상환 여부 (최근3개월간)
42,rv최초시작후경과일,리볼빙 최초 시작후 경과일
