No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,최종이용일자_기본,당사 최종 이용 일자
4,최종이용일자_신판,신용카드 최종 이용일자
5,최종이용일자_CA,현금서비스 최종 이용일자
6,최종이용일자_카드론,카드론 최종 이용일자
7,최종이용일자_체크,체크카드 최종 이용일자
8,최종이용일자_일시불,일시불 최종 이용일자
9,최종이용일자_할부,할부 최종 이용일자 (00010101= 미이용)
10,이용건수_신용_B0M,이용건수 일시불+할부+현금서비스+카드론 (당월)
11,이용건수_신판_B0M,이용건수 일시불+할부 (당월)
12,이용건수_일시불_B0M,이용건수 일시불 (당월)
13,이용건수_할부_B0M,이용건수 할부 (당월)
14,이용건수_할부_유이자_B0M,이용건수 할부 유이자 (당월)
15,이용건수_할부_무이자_B0M,이용건수 할부 무이자 (당월)
16,이용건수_부분무이자_B0M,이용건수 부분무이자 (당월)
17,이용건수_CA_B0M,이용건수 현금서비스 (당월)
18,이용건수_체크_B0M,이용건수 체크 (당월)
19,이용건수_카드론_B0M,이용건수 카드론 (당월)
20,이용금액_일시불_B0M,이용금액 일시불 (당월)
21,이용금액_할부_B0M,이용금액 할부 (당월)
22,이용금액_할부_유이자_B0M,이용금액 할부 유이자 (당월)
23,이용금액_할부_무이자_B0M,이용금액 할부 무이자 (당월)
24,이용금액_부분무이자_B0M,이용금액 부분 무이자 (당월)
25,이용금액_CA_B0M,이용금액 현금서비스 (당월)
26,이용금액_체크_B0M,이용금액 체크 (당월)
27,이용금액_카드론_B0M,이용금액 카드론 (당월)
28,이용후경과월_신용,"이용 후 경과월, 일시불/할부/현금서비스"
29,이용후경과월_신판,"이용 후 경과월, 일시불/할부"
30,이용후경과월_일시불,"이용 후 경과월, 일시불"
31,이용후경과월_할부,"이용 후 경과월, 할부"
32,이용후경과월_할부_유이자,"이용 후 경과월, 할부 유이자"
33,이용후경과월_할부_무이자,"이용 후 경과월, 할부 무이자"
34,이용후경과월_부분무이자,"이용 후 경과월, 부분 무이자"
35,이용후경과월_CA,"이용 후 경과월, 현금서비스 "
36,이용후경과월_체크,"이용 후 경과월, 체크"
37,이용후경과월_카드론,"이용 후 경과월, 카드론"
38,이용건수_신용_R12M,이용건수 일시불+할부+현금서비스+카드론 (최근1년간)
39,이용건수_신판_R12M,이용건수 일시불+할부 (최근1년간)
40,이용건수_일시불_R12M,이용건수 일시불 (최근1년간)
41,이용건수_할부_R12M,이용건수 할부 (최근1년간)
42,이용건수_할부_유이자_R12M,이용건수 할부 유이자 (최근1년간)
43,이용건수_할부_무이자_R12M,이용건수 할부 무이자 (최근1년간)
44,이용건수_부분무이자_R12M,이용건수 부분 무이자 (최근1년간)
45,이용건수_CA_R12M,이용건수 현금서비스 (최근1년간)
46,이용건수_체크_R12M,이용건수 체크 (최근1년간)
47,이용건수_카드론_R12M,이용건수 카드론 (최근1년간)
48,이용금액_일시불_R12M,이용금액 일시불 (최근1년간)
49,이용금액_할부_R12M,이용금액 할부 (최근1년간)
50,이용금액_할부_유이자_R12M,이용금액 할부 유이자 (최근1년간)
51,이용금액_할부_무이자_R12M,이용금액 할부 무이자 (최근1년간)
52,이용금액_부분무이자_R12M,이용금액 부분 무이자 (최근1년간)
53,이용금액_CA_R12M,이용금액 현금서비스 (최근1년간)
54,이용금액_체크_R12M,이용금액 체크 (최근1년간)
55,이용금액_카드론_R12M,이용금액 카드론 (최근1년간)
56,최대이용금액_일시불_R12M,최대이용금액 일시불 (최근1년간)
57,최대이용금액_할부_R12M,최대이용금액 할부 (최근1년간)
58,최대이용금액_할부_유이자_R12M,최대이용금액 할부 유이자 (최근1년간)
59,최대이용금액_할부_무이자_R12M,최대이용금액 할부 무이자 (최근1년간)
60,최대이용금액_부분무이자_R12M,최대이용금액 부분 무이자 (최근1년간)
61,최대이용금액_CA_R12M,최대이용금액 현금서비스 (최근1년간)
62,최대이용금액_체크_R12M,최대이용금액 체크 (최근1년간)
63,최대이용금액_카드론_R12M,최대이용금액 카드론 (최근1년간)
64,이용개월수_신용_R12M,이용 개월수 일시불+할부+현금서비스+카드론 (최근1년간)
65,이용개월수_신판_R12M,이용 개월수 일시불+할부 (최근1년간)
66,이용개월수_일시불_R12M,이용 개월수 일시불 (최근1년간)
67,이용개월수_할부_R12M,이용 개월수 할부 (최근1년간)
68,이용개월수_할부_유이자_R12M,이용 개월수 할부 유이자 (최근1년간)
69,이용개월수_할부_무이자_R12M,이용 개월수 할부 무이자 (최근1년간)
70,이용개월수_부분무이자_R12M,이용 개월수 부분 무이자 (최근1년간)
71,이용개월수_CA_R12M,이용 개월수 현금서비스 (최근1년간)
72,이용개월수_체크_R12M,이용 개월수 체크 (최근1년간)
73,이용개월수_카드론_R12M,이용 개월수 카드론 (최근1년간)
74,이용건수_신용_R6M,이용건수 일시불+할부+현금서비스+카드론 (최근6개월간)
75,이용건수_신판_R6M,이용건수 일시불+할부 (최근6개월간)
76,이용건수_일시불_R6M,이용건수 일시불 (최근6개월간)
77,이용건수_할부_R6M,이용건수 할부 (최근6개월간)
78,이용건수_할부_유이자_R6M,이용건수 할부 유이자 (최근6개월간)
79,이용건수_할부_무이자_R6M,이용건수 할부 무이자 (최근6개월간)
80,이용건수_부분무이자_R6M,이용건수 부분 무이자 (최근6개월간)
81,이용건수_CA_R6M,이용건수 현금서비스 (최근6개월간)
82,이용건수_체크_R6M,이용건수 체크 (최근6개월간)
83,이용건수_카드론_R6M,이용건수 카드론 (최근6개월간)
84,이용금액_일시불_R6M,이용금액 일시불 (최근6개월간)
85,이용금액_할부_R6M,이용금액 할부 (최근6개월간)
86,이용금액_할부_유이자_R6M,이용금액 할부 유이자 (최근6개월간)
87,이용금액_할부_무이자_R6M,이용금액 할부 무이자 (최근6개월간)
88,이용금액_부분무이자_R6M,이용금액 부분 무이자 (최근6개월간)
89,이용금액_CA_R6M,이용금액 현금서비스 (최근6개월간)
90,이용금액_체크_R6M,이용금액 체크 (최근6개월간)
91,이용금액_카드론_R6M,이용금액 카드론 (최근6개월간)
92,이용개월수_신용_R6M,이용 개월수 일시불+할부+현금서비스+카드론 (최근6개월간)
93,이용개월수_신판_R6M,이용 개월수 일시불+할부 (최근6개월간)
94,이용개월수_일시불_R6M,이용 개월수 일시불 (최근6개월간)
95,이용개월수_할부_R6M,이용 개월수 할부 (최근6개월간)
96,이용개월수_할부_유이자_R6M,이용 개월수 할부 유이자 (최근6개월간)
97,이용개월수_할부_무이자_R6M,이용 개월수 할부 무이자 (최근6개월간)
