No,필드한글명,설명
1,기준년월,데이터 기준년월
2,ID,고유 ID
3,대표결제일,카드 사용 금액 입금 일자
4,대표결제방법코드,카드 사용 금액 결제 방법 코드
5,대표청구지고객주소구분코드,카드 사용 금액 청구 주소 구분 코드
6,대표청구서수령지구분코드,카드 사용 금액 청구서 수령 방법 코드
7,청구서수령방법,"우편, 이메일 등 청구서수령방법"
8,청구서발송여부_B0,청구서 발송 여부 (당월)
9,청구서발송여부_R3M,청구서 발송 여부 (최근3개월간)
10,청구서발송여부_R6M,청구서 발송 여부 (최근6개월간)
11,청구금액_B0,청구금액 (당월)
12,청구금액_R3M,청구금액 (최근3개월간)
13,청구금액_R6M,청구금액 (최근6개월간)
14,포인트_마일리지_건별_B0M,적립 마일리지 (당월)
15,포인트_마일리지_건별_R3M,적립 마일리지 (최근3개월간)
16,포인트_포인트_건별_B0M,적립 포인트 (당월)
17,포인트_포인트_건별_R3M,적립 포인트 (최근3개월간)
18,포인트_마일리지_월적립_B0M,"적립 마일리지 (당월)
(이벤트 및 기타 사유로 적립)"
19,포인트_마일리지_월적립_R3M,"적립 마일리지 (최근3개월간)
(이벤트 및 기타 사유로 적립)"
20,포인트_포인트_월적립_B0M,"적립 포인트 (당월)
(이벤트 및 기타 사유로 적립)"
21,포인트_포인트_월적립_R3M,"적립 포인트 (최근3개월간)
(이벤트 및 기타 사유로 적립)"
22,포인트_적립포인트_R12M,"적립 포인트 (최근1년간)
(마일리지 제외)"
23,포인트_적립포인트_R3M,"적립 포인트 (최근3개월간)
(마일리지 제외)"
24,포인트_이용포인트_R12M,"이용 포인트 (최근1년간)
(마일리지 제외)"
25,포인트_이용포인트_R3M,"이용 포인트 (최근3개월간)
(마일리지 제외)"
26,포인트_잔여포인트_B0M,"잔여 포인트 (당월)
(마일리지 제외)"
27,마일_적립포인트_R12M,적립 마일리지 (최근1년간)
28,마일_적립포인트_R3M,적립 마일리지 (최근3개월간)
29,마일_이용포인트_R12M,이용 마일리지 (최근1년간)
30,마일_이용포인트_R3M,이용 마일리지 (최근3개월간)
31,마일_잔여포인트_B0M,잔여 마일리지 (당월)
32,할인건수_R3M,할인 혜택 건수 (최근3개월간)
33,할인금액_R3M,할인 혜택 금액 (최근3개월간)
34,할인건수_B0M,할인 혜택 건수 (당월)
35,할인금액_B0M,할인 혜택 금액 (당월)
36,할인금액_청구서_R3M,할인 혜택 금액 청구서 기준 (최근3개월간)
37,할인금액_청구서_B0M,할인 혜택 금액 청구서 기준 (당월)
38,상환개월수_결제일_R6M,이용금액 결제일에 납부한 개월수 (최근6개월간)
39,상환개월수_결제일_R3M,이용금액 결제일에 납부한 개월수 (최근3개월간)
40,선결제건수_R6M,선결제건수 (최근6개월간)
41,선결제건수_R3M,선결제건수 (최근3개월간)
42,연체건수_R6M,연체건수 (최근6개월간)
43,연체건수_R3M,연체건수 (최근3개월간)
44,혜택수혜금액_R3M,"혜택 받은 금액 (최근3개월)
(마일리지(1=15원) + 카드 상품 포인트 적립 + 이벤트 및 기타 매출 포인트 적립 + 할인금액)"
45,포인트_마일리지_환산_B0M,마일리지 당 15원으로 환산한 금액 (당월)
46,혜택수혜금액,"이번 달 혜택 받은 금액 (당월)
(마일리지(1=15원) + 카드 상품 포인트 적립 + 이벤트 및 기타 매출 포인트 적립 + 할인금액)"
