필드명,설명,코드값
SEX,성별,"1 : 남자
2 : 여자"
AGE,연령대,"20 : 만18세~24세
25 : 만25세~29세
30 : 만30세~34세
35 : 만35세~39세
40 : 만40세~44세
45 : 만45세~49세
50 : 만50세~54세
55 : 만55세~59세
60 : 만60세~646세
65 : 만65세~69세
70 : 만70세 이상"
JB_TP,직업군,"410 : 대기업 급여소득
420 : 일반 급여소득
430 : 전문직 급여소득
440 : 대표
510 : 일반 자영업
520 : 전문직 자영업
910 : 기타/무직"
HOME_ADM,거주지시도,"11 : 서울
26 : 부산
27 : 대구
28 : 인천
29 : 광주
30 : 대전
31 : 울산
36 : 세종
41 : 경기
42 : 강원
43 : 충북
44 : 충남
45 : 전북
46 : 전남
47 : 경북
48 : 경남
50 : 제주"
COM_ADM,근무지시도,"11 : 서울
26 : 부산
27 : 대구
28 : 인천
29 : 광주
30 : 대전
31 : 울산
36 : 세종
41 : 경기
42 : 강원
43 : 충북
44 : 충남
45 : 전북
46 : 전남
47 : 경북
48 : 경남
50 : 제주"
HIGHEND_CD1,하이엔드대상자코드1,"0 : 정보없음
1 : 소비수준 상위자"
HIGHEND_CD2,하이엔드대상자코드2,"0 : 정보없음
1 : 소득수준 상위자"
HIGHEND_CD3,하이엔드대상자코드3,"0 : 정보없음
1 : 전문직/대표"
HIGHEND_CD4,하이엔드대상자코드4,"0 : 정보없음
1 : 외제차 보유"
LIF_STG,라이프스테이지,"1 : 싱글
2 : 신혼
3 : 영유아어린이자녀가족
4 : 청소년자녀가족
5 : 성인자녀가족
6 : 실버"
HB_1ST,취미1순위,"0 : 없음
1 : 건강
2 : 게임
3 : 골프
4 : 독서
5 : 레져
6 : 뷰티
7 : 쇼핑
8 : 애완동물
9 : 여행
10 : 영화
11 : 예술
12 : 온라인쇼핑
13 : 육아
14 : 식도락
15 : 자동차
16 : 힐링"
COFFEE_1ST,1순위커피브랜드코드,"01 : 스타벅스
02 : 투썸플레이스
03 : 할리스커피
04 : 커피빈
05 : 탐앤탐스
06 : 파스쿠찌
07 : 엔제리너스
08 : 카페베네
09 : 폴바셋
10 : 커핀그루나루
11 : 블루보틀커피
12 : 이디야커피
13 : 빽다방
14 : 커피에반하다
15 : 요거프레소
16 : 메가커피
17 : 커피베이
18 : 공차
19 : 한화비앤비
20 : 드롭탑
21 : 컴포즈커피
22 : 더카페
23 : 토프레소
24 : 더벤티
25 : 디초콜릿커피앤드
26 : 커피만
27 : 달콤커피
28 : 커피스미스
29 : 카페띠아모
30 : 빈스빈스
31 : 커피나무
32 : 아마스빈
99 : 기타"
BUY_LUX_YN,명품구매여부,"0 : 부
1 : 여"
